text,label1,label2
"Based upon Business category: Restaurant Category : The Restaurant - the food is so good and not even remotely good. I can find nothing remotely tasteful. (I do know how to prepare everything I like and everything is fine, but this is still an awful restaurant to me) I would have liked to keep buying more",Business Category: Restaurants,Review Stars: 1.0
"Just found it a great food service establishment in a nice location and would come back for dinner if needed. The service was quick for the part. On one of my guests there were waiting in the front and we just sat there for a half hour. After one minute, there was still nothing for us. All the",Business Category: Restaurants,Review Stars: 1.0
"This place is totally inadequate. It just feels very empty that they do that. They did their homework at work which is probably part of my job experience. As for the customers, the customer service is really terrible. If you come by the counter during business hours, your only option is to order out for drinks on",Business Category: Restaurants,Review Stars: 1.0
"At this, I felt sad that this restaurant would ever take this far. They are the epitome of quality. I can only guess why but I can't do more of that. Their food is always really tasty, their service and decorate the dishes well. I will definitely stop to buy from the menu",Business Category: Restaurants,Review Stars: 1.0
Based upon Business category: Restaurant & Bar Owner The staff had excellent hospitality. I couldn't help but feel very bad because I had no idea what we would be making. Our waiter kept telling me I would have a drink at the restaurant as I was still not getting enough to fill myself up. When we came back,Business Category: Restaurants,Review Stars: 1.0
"Based on Business Category: Restaurants Review Stars: 1.0, please rephrase the following sentences orally: The service on our last trip was awful. When we were eating, our tablemates took the order with food and asked us to order the exact amount they had. We even had to wait 30 seconds for the food that our guests had ordered. To our surprise our waiter was very understanding and kind to both of us",Business Category: Restaurants,Review Stars: 1.0
"Our customers were nice, very friendly at first. Our only problem was being seated long too many rows deep. After three more customers left we were forced to wait two hours. I have seen my waitress try at this place before.",Business Category: Restaurants,Review Stars: 1.0
We were able to enjoy the menu. We just waited as we ordered at around 5 or 10-6 minutes. After the order process the server got out of his or her chairs. He had no idea what our plan was about to be about as the service was terrible. Very disappointed in restaurant and would NEVER order at,Business Category: Restaurants,Review Stars: 1.0
"not a great product. The fries and the sandwiches were also terrible, even as I had previously been saying I could eat them, but the last few minutes had me hungry all night long, I never got the burger and my burger just wasn't great enough, so I've changed my thoughts on it and ordered more",Business Category: Restaurants,Review Stars: 1.0
"Based upon Business, I ordered my last item before noon and she came in asking what I was going to eat. After explaining the situation, she was very polite. The place I had ordered had not a table reserved for those people so it left me wondering exactly what was wrong. She would not even let us order",Business Category: Restaurants,Review Stars: 1.0
"Based over our salad day, the food didn't taste right. No noodles or sauces were served and I had to turn on the oven because they were starting the curry. All I ate, which looked ok, and the taste was very balanced. The chicken, eggs, soup etc were fresh! So I'm",Business Category: Restaurants,Review Stars: 1.0
5 out by Mike S on 6/24/2012 Just arrived last night. They say you won't get the most fabulous flavor but then have the best portions. We had the pizza crust which was amazing but not great on an original order. I was disappointed however when a few minutes after being placed there at a,Business Category: Restaurants,Review Stars: 1.0
"Couple of great restaurants but also a bad one... The service was too hard-headed. We couldn't really pick a good pizza in an empty, unused space with zero seating. It is so boring but the service is as bad. And if you like pizza so good! Don't make you go to any other",Business Category: Restaurants,Review Stars: 1.0
"Based on Business Category: Restaurants Review Stars: 1.0, please rephrase the following sentences casually: My reaction was that we could never live nextdoor, my food was awful that day. There would never be a customer here, I needed my money back and would go there for only one thing - a hamburger and fries. Well, because they were a bad customer for something like that, and because I told him",Business Category: Restaurants,Review Stars: 1.0
"The service is also slow and we got a horrible wait. ""You got the right service to serve us a nice food"" you don't know it better. The waitress did not answer the question of wait times (unless you answered, for example a time you were just about to leave and had gone into the",Business Category: Restaurants,Review Stars: 1.0
"Based on Business Category: Restaurants Review Stars: 1.0, please rephrase the following sentences briefly: were really pissed. As a restaurant employee you never know. I could be quite rude but I am very honest with you about my food choices and how disappointing the service had. The last time my waiter was there he was also doing a better job at a little bit (not that I needed an excuse) But it",Business Category: Restaurants,Review Stars: 1.0
"The restaurant will say, ""We made a reservation but didn't order."" (we tried to wait in the dining area but our server said it wasn't appropriate) This led me to assume they'd made plans but I found them wrong. So I went back out to try and order again. At 10 minutes from",Business Category: Restaurants,Review Stars: 1.0
"Based around BusinessCategory: Restaurant Reviews Reviews: 3,095 Overall Thoughts: I love what i have. I was actually disappointed by my waitress's response in that the restaurant was so slow (you couldn: don't pay to get out and then wait), although I enjoyed the service and order by appointment. It",Business Category: Restaurants,Review Stars: 1.0
I hope someone had noticed when I mentioned that one of his last two places is not that good. - How could the owner want that at the end of every meal that was a 'no?' I don't ever have tacos here. He was trying to buy it as a last resort and it turned out to be,Business Category: Restaurants,Review Stars: 1.0
